Price_CLP,Price_UF,Price_USD,Comuna,Ubicacion,Dorms,Baths,Built Area,Total Area,Parking,id,Realtor
136739410,3790.0,166755.0,PuenteAlto,LomaRedonda7Poniente,3,2,68.0,168.0,3,13062226,
143955210,3990.0,175555.0,Maipú,VillaVersalles,4,2,139.0,130.0,2,13136190,
125000000,3465.0,152439.0,Maipú,MaresdelSur,5,3,134.0,89.0,1,16537208,
70000000,1940.0,85366.0,SanBernardo,LuisAlbertoHeiremansSur,2,1,40.0,59.0,1,16332792,
125000000,3465.0,152439.0,Maipú,BatalladeMaipú,3,3,149.0,119.0,1,16395601,
160000000,4435.0,195122.0,Maipú,LasVizcachas,5,2,138.0,200.0,2,16386069,
187610800,5200.0,228794.0,Peñaflor,Penaflor,3,2,126.0,443.0,2,16320349,
432948000,12000.0,527985.0,Talagante,CaminoCarampangue,4,2,367.0,5000.0,2,16319597,
120000000,3326.0,146341.0,LaFlorida,LasTorcazas,4,1,82.0,114.0,1,16269543,
85000000,2356.0,103659.0,PuenteAlto,RelojdelSolSur4102,3,2,56.0,110.0,3,9547765,
230544810,6390.0,281152.0,SanBernardo,VolcánPomerape.,3,2,83.0,750.0,6,10957028,Propiedades Abarca
164159450,4550.0,200194.0,Quilicura,ValleLoCampino,3,2,88.0,128.0,3,11981386,Propital
83600000,2317.0,101951.0,SanBernardo,ProfesoraEvaÁvila,4,1,83.0,76.0,1,16085876,Balance
165000000,4573.0,201220.0,PuenteAlto,AvenidaLasVizcachas,3,3,105.0,130.0,2,16000362,Alessandro Matteucci Cajas
400476900,11100.0,488386.0,QuintaNormal,Hoevel4548y4558,7,4,384.0,732.0,3,11700213,
266984600,7400.0,325591.0,Buin,Linderos,4,3,110.0,256.0,4,15963666,
544792900,15100.0,664382.0,ElBosque,Gral.Körner330,3,1,90.0,1640.0,3,14144830,Punto Exacto Corredora de Propiedades Ltda.
65500000,1815.0,79878.0,Paine,ParqueNacionalAltosdeLircay,2,1,54.0,97.0,1,11029691,
577264000,16000.0,703980.0,Independencia,Av.FermínVivaceta2446,4,2,186.0,527.0,3,12209528,Cadepar Propiedades SpA
100000000,2772.0,121951.0,PedroAguirreCerda,PasajeOchoNorte,4,1,154.0,196.0,1,15368822,
299000000,8287.0,364634.0,LaFlorida,¡Miraesto!¡Esespectacular!RojasMagallanes,4,4,177.0,259.0,3,4870914,Punto Exacto Corredora de Propiedades Ltda.
210000000,5821.0,256098.0,SanMiguel,RamónBarrosLuco4061,4,2,112.0,154.0,2,15201226,
70000000,1940.0,85366.0,ElBosque,pasajeelhierro920,3,1,113.0,113.0,0,15481583,
115000000,3187.0,140244.0,Maipú,1deMayo,4,2,85.0,110.0,2,15328607,
146119950,4050.0,178195.0,SanBernardo,LaEncinaNte.850,4,3,110.0,180.0,2,15235604,Rodrigo Cañas de la Cerda Propiedades
130000000,3603.0,158537.0,SanJoaquín,SanJoaquín,3,1,88.0,200.0,1,12995041,
115000000,3187.0,140244.0,SanRamón,PasajeTransversalPoniente,3,1,110.0,230.0,2,8850001,Novavista
155000000,4296.0,189024.0,Ñuñoa,SuarezMujica,3,1,90.0,120.0,0,9551695,Novavista
89836710,2490.0,109557.0,Lampa,BlancaEstelaSur4125,2,2,56.0,86.0,1,14914282,Cdprop
160551550,4450.0,195795.0,Maipú,barriolautarociudadsateliteavelparque2361,2,3,93.0,145.0,2,14882402,
115000000,3187.0,140244.0,Maipú,Aracari389,3,1,76.0,120.0,2,11786572,Silvana Guillen Propiedades
277808300,7700.0,338791.0,LaCisterna,Pintados180,5,2,150.0,330.0,3,14612031,Rodrigo Cañas de la Cerda Propiedades
105000000,2910.0,128049.0,Paine,LasAcacias112,3,1,60.0,1164.0,0,9464865,
325000000,9008.0,396341.0,Buin,Maipú490,4,2,127.0,450.0,4,9379847,
140708100,3900.0,171595.0,SanBernardo,PasajeTurinPoniente,4,2,85.0,155.0,2,13827055,Rodrigo Cañas de la Cerda Propiedades
58500000,1621.0,71341.0,PuenteAlto,lagunillasconestacionsierranevada,2,2,89.0,100.0,3,13751569,Propital
1226686000,34000.0,1495959.0,LasCondes,Laforesta,5,5,360.0,1150.0,4,10080545,Premiumpropiedades
111556268,3092.0,136044.0,SanBernardo,PasajeRemi,3,2,63.0,107.0,2,10730488,Propiedades Abarca
162355500,4500.0,197995.0,Lampa,AvenidaLaMontañaSur4149,3,3,80.0,156.0,2,8677005,Behouse
396869000,11000.0,483987.0,Peñalolén,Avconsistorialconelvalle,4,3,142.0,277.0,2,11443495,Propital
579753451,16069.0,707016.0,Ñuñoa,Hannoverconestrellasolitaria,6,2,157.0,408.0,6,11417583,Propital
559224500,15500.0,681981.0,Ñuñoa,Valparaíso,4,3,200.0,648.0,4,7050927,Platoni y Bonet Propiedades
75000000,2079.0,91463.0,Melipilla,entretacnaconyungaymelipilla,3,1,43.0,198.0,2,8876766,Paula Vivanco Arenas
143000000,3964.0,174390.0,Recoleta,DoctorSoterodelRío&Huasco,4,2,160.0,300.0,2,7755357,Navacasa Propiedades
205000000,5682.0,250000.0,Santiago,Cuevas/Maule,7,3,161.0,185.0,0,8677192,
240000000,6652.0,292683.0,Santiago,Carmen/Barretos,5,3,190.0,250.0,1,8677225,
250749050,6950.0,305792.0,Buin,CamiloBerriosQuintanilla,3,3,112.0,240.0,2,7970036,Propiedades Abarca
577264000,16000.0,703980.0,Vitacura,Géminisii,3,2,140.0,310.0,2,5893319,
98000000,2716.0,119512.0,CerroNavia,StrikMatte,2,1,88.0,120.0,1,17333075,Thaiz Alizo
150000000,4158.0,182927.0,Maipú,LasNaciones180,3,2,80.0,160.0,2,20161463,
129884400,3600.0,158396.0,Buin,Buin,3,2,70.0,116.0,1,16030716,
187610800,5200.0,228794.0,Colina,CondominioLosAbetos,3,2,100.0,220.0,1,16317009,
53000000,1469.0,64634.0,Maipú,LasTinajas,2,1,64.0,62.0,1,20158966,Paula Vivanco Arenas
166000000,4601.0,202439.0,LaFlorida,LasMagnoliasconPilauco,3,3,101.0,176.0,2,20155288,Urbalia
72000000,1996.0,87805.0,SanRamón,MartaBrunet1655,4,1,145.0,179.0,0,20154458,Unne
384962930,10670.0,469467.0,Peñalolén,LasFloresOriente/TreceOriente,3,3,128.0,345.0,2,20154346,Nexxos
487066500,13500.0,593984.0,LasCondes,PaulHarris/CharlesHamilton,5,4,200.0,336.0,2,20154215,Viel la Dehesa SPA
721580000,20000.0,879976.0,Vitacura,FranciscodeAguirre/Obrien,4,3,180.0,185.0,0,20154066,Nexxos
422088221,11699.0,514742.0,LaReina,Hermosayluminosacasadediseñodearquitecto,4,4,200.0,150.0,0,20154031,Calvert Corredores de Propiedades
231843654,6426.0,282736.0,Quilicura,Casaenventavallelocampinomodeloalicantequilicura,3,3,200.0,200.0,0,20153278,Inmobi Propiedades
898367100,24900.0,1095570.0,Colina,Lareserva,6,5,360.0,1300.0,2,20153070,Easyprop
