Price_CLP,Price_UF,Price_USD,Comuna,Ubicacion,Dorms,Baths,Built Area,Total Area,Parking,id,Realtor
193000000,5423,240349,PuenteAlto,AvenidaParquedelEste,4,2,114.0,242.0,1,11384922,Nexxos
160155000,4500,199446,PuenteAlto,LaprimaveraconJuandediosMalebrán,3,2,89.0,115.0,2,11384849,Nexxos
65129700,1830,81108,PuenteAlto,AccesosurconSantaRosa,3,1,65.0,80.0,1,11384784,Nexxos
419962000,11800,522991,Providencia,DiegodeAlmagro-límiteÑuñoa/Providencia/EliecerParada,4,3,130.0,190.0,0,9666621,Propiedades Ricardo Vial y Cia. Ltda.
75000000,2107,93400,PuenteAlto,CircunvalaciónconNonatocoo,3,1,80.0,162.0,1,11384768,Nexxos
97000000,2725,120797,PuenteAlto,CircunvalaciónconCordónRoma,3,2,80.0,100.0,2,11384675,Nexxos
115000000,3231,143213,Quilicura,Av.Lomarcoleta(ag)/africa,3,1,78.0,80.0,0,6729778,Propiedades Centro Santiago SPA
1014315000,28500,1263157,Vitacura,Av.Vitacura-LasHualtatas,3,6,265.0,496.0,6,11384277,Sucursal El Bosque Sur
391490000,11000,487534,Ñuñoa,SimónBolívar/Montenegro,4,3,119.0,270.0,0,9896836,Grupo Inovo
240232500,6750,299169,LaFlorida,Altomacul,3,3,116.0,150.0,1,10095369,Alto Andes
160155000,4500,199446,Pudahuel,JardíndeLaViña,4,2,109.0,136.0,1,11384129,Houm
80504580,2262,100255,PuenteAlto,Josefaportales,2,1,53.0,74.0,1,11384029,Unne
121006000,3400,150692,Lampa,CondominioLosCoihuesLarapinta,3,2,65.0,200.0,3,11383879,Grupo Premium Propiedades Santiago
460890500,12950,573961,Providencia,DiegodeAlmagro/ElAguilucho,5,5,151.0,338.0,0,7289252,Sucursal Cantagallo
419606100,11790,522548,Colina,Recibimosofertascondominiolosnogales2/santaelena,3,3,140.0,350.0,0,5556886,Propiedades Jose Fco. Montalva y Cía. Ltda.
313192000,8800,390027,Independencia,CatorcedelaFamaconCarlosGardel,3,1,140.0,178.0,1,9897289,Grupo Inovo
177950000,5000,221606,PuenteAlto,Avenidacentral1725,3,3,120.0,215.0,0,11383043,Unne
115000000,3231,143213,Peñalolén,Villarealaudienciaentrelasparcelasysanchezfontecilla,3,1,75.0,90.0,2,11382971,Nexxos
378321700,10630,471135,LaFlorida,Metrovicuñamackenna/alonsodeercilla/avaméricovespucio,3,3,174.0,284.0,3,9897702,Grupo Inovo
135000000,3793,168120,SanBernardo,Casa2pisos,3,2,80.0,150.0,3,8253700,Easyprop
128000000,3597,159402,Pudahuel,Villaelcomendador/avjosemanuelguzman,3,1,120.0,120.0,0,8027428,Jaime Moris Propiedades (Providencia)
1067700000,30000,1329639,Colina,PoloManquehueChicureo,5,5,500.0,2600.0,12,9013523,Unne
419018959,11774,521817,Santiago,Esmeralda600-900,12,6,156.0,296.0,1,7594636,Montalva Quindos
551289100,15490,686537,LoBarnechea,pastorfernandez15844,4,2,150.0,802.0,4,10157550,Unne
80000000,2248,99626,LaFlorida,LaFlorida,3,1,69.0,120.0,1,9889777,AMIPRO
1601550000,45000,1994458,LoBarnechea,LosPortonesdelaDehesa,7,7,526.0,2009.0,5,8597772,MMS Corredora de Propiedades
