Price_UF,Comuna,Dorms,Baths,Built Area,Total Area,Parking,Realtor,UF_m2,log_price,log_area
3271.0,PuenteAlto,3,1,130.0,130.0,3,Corredores Asociados,25.16154,8.092851,4.8675346
9950.0,Colina,4,3,140.0,392.0,2,Bernal Propiedades - Santa Elena de Chicureo,71.07143,9.205328,5.971262
9980.0,Colina,3,3,140.0,400.0,2,Bernal Propiedades - Santa Elena de Chicureo,71.28571,9.208339,5.9914646
10500.0,Colina,3,3,146.0,500.0,3,Bernal Propiedades - Santa Elena de Chicureo,71.91781,9.2591305,6.214608
16900.0,Ñuñoa,5,4,278.0,495.0,3,ProUrbe Manquehue,60.791367,9.735069,6.204558
9350.0,Peñalolén,4,3,120.0,285.0,2,Desconocido,77.916664,9.143131,5.652489
3478.0,Maipú,3,2,72.0,122.0,3,Elitte Propiedades,48.305557,8.154213,4.804021
8300.0,Colina,3,3,112.0,220.0,2,Desconocido,74.10714,9.024011,5.3936276
1976.0,PuenteAlto,4,2,60.0,80.0,2,Grupo Premium Propiedades Santiago,32.933334,7.58883,4.3820267
7345.0,LaFlorida,4,2,115.0,285.0,2,Grupo Premium Propiedades Santiago,63.869564,8.901775,5.652489
3269.0,SanBernardo,5,3,80.0,124.0,2,Grupo Premium Propiedades Santiago,40.8625,8.092239,4.8202815
3368.0,Maipú,4,2,127.0,129.0,1,Grupo Premium Propiedades Santiago,26.519686,8.122074,4.8598123
3822.0,Cerrillos,4,2,106.0,112.0,1,Grupo Premium Propiedades Santiago,36.056602,8.248529,4.7184987
15700.0,Colina,4,4,225.0,520.0,3,Desconocido,69.77778,9.661416,6.253829
2411.0,Peñaflor,3,2,85.0,100.0,2,Unne,28.364706,7.787797,4.6051702
2689.0,Macul,3,1,60.0,80.0,1,Unne,44.816666,7.8969245,4.3820267
3465.0,Maipú,2,2,70.0,90.0,2,Unne,49.5,8.150468,4.4998097
3603.0,Maipú,3,2,91.0,140.0,1,Unne,39.593407,8.189522,4.9416423
3742.0,Maipú,3,3,87.0,136.0,1,Unne,43.011494,8.227376,4.912655
15350.0,LoBarnechea,5,4,220.0,360.0,2,Fridman Propiedades,69.77273,9.638871,5.886104
9000.0,LaFlorida,3,3,115.0,300.0,2,Desconocido,78.26087,9.1049795,5.7037826
